2023-11-28 21:14:59 install sysvinit-utils:amd64 <none> 3.06-4
2023-11-28 21:14:59 status half-installed sysvinit-utils:amd64 3.06-4
2023-11-28 21:14:59 status unpacked sysvinit-utils:amd64 3.06-4
2023-11-28 21:14:59 install tar:amd64 <none> 1.34+dfsg-1.2
2023-11-28 21:14:59 status half-installed tar:amd64 1.34+dfsg-1.2
2023-11-28 21:15:00 status unpacked tar:amd64 1.34+dfsg-1.2
2023-11-28 21:15:00 install tzdata:all <none> 2023c-5
2023-11-28 21:15:00 status half-installed tzdata:all 2023c-5
2023-11-28 21:15:01 status unpacked tzdata:all 2023c-5
2023-11-28 21:15:01 install usrmerge:all <none> 35
2023-11-28 21:15:01 status half-installed usrmerge:all 35
2023-11-28 21:15:01 status unpacked usrmerge:all 35
2023-11-28 21:15:01 install bsdutils:amd64 <none> 1:2.38.1-5+b1
2023-11-28 21:15:01 status half-installed bsdutils:amd64 1:2.38.1-5+b1
2023-11-28 21:15:01 status unpacked bsdutils:amd64 1:2.38.1-5+b1
2023-11-28 21:15:01 install libblkid1:amd64 <none> 2.38.1-5+b1
2023-11-28 21:15:01 status half-installed libblkid1:amd64 2.38.1-5+b1
2023-11-28 21:15:01 status unpacked libblkid1:amd64 2.38.1-5+b1
2023-11-28 21:15:01 install libmount1:amd64 <none> 2.38.1-5+b1
2023-11-28 21:15:01 status half-installed libmount1:amd64 2.38.1-5+b1
2023-11-28 21:15:01 status unpacked libmount1:amd64 2.38.1-5+b1
2023-11-28 21:15:01 install libsmartcols1:amd64 <none> 2.38.1-5+b1
2023-11-28 21:15:01 status half-installed libsmartcols1:amd64 2.38.1-5+b1
2023-11-28 21:15:01 status unpacked libsmartcols1:amd64 2.38.1-5+b1
2023-11-28 21:15:01 install libuuid1:amd64 <none> 2.38.1-5+b1
2023-11-28 21:15:01 status half-installed libuuid1:amd64 2.38.1-5+b1
2023-11-28 21:15:01 status unpacked libuuid1:amd64 2.38.1-5+b1
2023-11-28 21:15:01 install mount:amd64 <none> 2.38.1-5+b1
2023-11-28 21:15:01 status half-installed mount:amd64 2.38.1-5+b1
2023-11-28 21:15:02 status unpacked mount:amd64 2.38.1-5+b1
2023-11-28 21:15:02 install util-linux:amd64 <none> 2.38.1-5+b1
2023-11-28 21:15:02 status half-installed util-linux:amd64 2.38.1-5+b1
2023-11-28 21:15:02 status unpacked util-linux:amd64 2.38.1-5+b1
2023-11-28 21:15:02 install util-linux-extra:amd64 <none> 2.38.1-5+b1
2023-11-28 21:15:02 status half-installed util-linux-extra:amd64 2.38.1-5+b1
2023-11-28 21:15:02 status unpacked util-linux-extra:amd64 2.38.1-5+b1
2023-11-28 21:15:02 install libxxhash0:amd64 <none> 0.8.1-1
2023-11-28 21:15:02 status half-installed libxxhash0:amd64 0.8.1-1
2023-11-28 21:15:02 status unpacked libxxhash0:amd64 0.8.1-1
2023-11-28 21:15:02 install liblzma5:amd64 <none> 5.4.1-0.2
2023-11-28 21:15:02 status half-installed liblzma5:amd64 5.4.1-0.2
2023-11-28 21:15:02 status unpacked liblzma5:amd64 5.4.1-0.2
2023-11-28 21:15:02 install zlib1g:amd64 <none> 1:1.2.13.dfsg-1
2023-11-28 21:15:02 status half-installed zlib1g:amd64 1:1.2.13.dfsg-1
2023-11-28 21:15:02 status unpacked zlib1g:amd64 1:1.2.13.dfsg-1
2023-11-28 21:15:03 startup packages configure
2023-11-28 21:15:03 configure libtext-glob-perl:all 0.11-3 <none>
2023-11-28 21:15:03 status unpacked libtext-glob-perl:all 0.11-3
2023-11-28 21:15:03 status half-configured libtext-glob-perl:all 0.11-3
2023-11-28 21:15:03 status installed libtext-glob-perl:all 0.11-3
2023-11-28 21:15:03 configure debian-archive-keyring:all 2023.3+deb12u1 <none>
2023-11-28 21:15:03 status unpacked debian-archive-keyring:all 2023.3+deb12u1
2023-11-28 21:15:03 status half-configured debian-archive-keyring:all 2023.3+deb12u1
2023-11-28 21:15:03 status installed debian-archive-keyring:all 2023.3+deb12u1
2023-11-28 21:15:03 configure libaudit-common:all 1:3.0.9-1 <none>
2023-11-28 21:15:03 status unpacked libaudit-common:all 1:3.0.9-1
2023-11-28 21:15:03 status half-configured libaudit-common:all 1:3.0.9-1
2023-11-28 21:15:03 status installed libaudit-common:all 1:3.0.9-1
2023-11-28 21:15:03 configure libsemanage-common:all 3.4-1 <none>
2023-11-28 21:15:03 status unpacked libsemanage-common:all 3.4-1
2023-11-28 21:15:03 status half-configured libsemanage-common:all 3.4-1
2023-11-28 21:15:03 status installed libsemanage-common:all 3.4-1
2023-11-28 21:15:03 configure debconf:all 1.5.82 <none>
2023-11-28 21:15:03 status unpacked debconf:all 1.5.82
2023-11-28 21:15:03 status half-configured debconf:all 1.5.82
2023-11-28 21:15:03 status installed debconf:all 1.5.82
